Category,Crop,Disease,Question,Answer,Keywords
Carbon Farming,okra,anthracnose,How should I plan crop rotation with okra to improve soil health?,"For okra, agroforestry and perennial systems sequester more carbon. Use diverse rotations and organic amendments. Maintain records for potential carbon income. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,black,carbon_farming,farming,india,okra"
Regenerative Agriculture,groundnut,collar rot,How do I manage collar rot in groundnut? What are the symptoms and spray schedule?,"In groundnut, combine traditional knowledge with modern science for regenerative outcomes. Use participatory trials and share results with neighbors. Seek technical support from agriculture departments. Keep records of inputs and yields each season to refine your plan.","agriculture,collar rot,farming,groundnut,india,loamy,regenerative_agriculture"
GAP,mustard,alternaria leaf spot,What carbon farming practices can I adopt in mustard fields?,"In mustard, GAP reduces risks and builds buyer trust. Regularly audit practices and update SOPs. Engage with buyers to understand quality standards. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,farming,gap,india,laterite,mustard"
Insurance,sunflower,sclerotinia head rot,"What are the signs of Zn, B, or S deficiency in sunflower and how do I correct them?","In sunflower, weather-based insurance can provide quick payouts. Link with local meteorological data. Use insurance as part of risk management, not a substitute for good practices. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,insurance,loamy,sclerotinia head rot,sunflower"
Fertilizer,bajra,smut,How do I move towards regenerative agriculture in bajra?,"In bajra, balanced NPK (e.g., 100:50:50) improves yield and resilience. Apply full P and K at sowing; split N in 2–3 doses. Foliar 19:19:19 (2–3 g/L) at flowering boosts fruit set. Add 4–5 t/ha compost + 20 kg/ha ZnSO4 in Zn-deficient black soils. Avoid late heavy N to reduce lodging and pest risk.","agriculture,bajra,farming,fertilizer,india,sandy,smut"
Disease,jowar,anthracnose,How do I implement IPM in jowar step by step?,"Control anthracnose in jowar with integrated measures: resistant varieties, seed treatment (thiram/carbendazim 2 g/kg), and timely sprays. Avoid excessive nitrogen which increases susceptibility. Use biocontrol (Trichoderma 4–5 g/kg seed) for soil-borne diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,anthracnose,disease,farming,india,jowar"
Pest,ragi,smut,"What are the signs of Zn, B, or S deficiency in ragi and how do I correct them?","Common pests in ragi include stem borer, aphids, leaf miner. Monitor with pheromone traps (10–12/ha). Use need-based sprays: emamectin benzoate or spinosad for larvae; imidacloprid for sucking pests. Preserve natural enemies; avoid broad-spectrum sprays early. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,laterite,pest,ragi,smut"
Irrigation,gram,wilt,What water conservation practices work best for gram in my area?,"In gram, avoid water stress during pod/fruit development. Use deficit irrigation (70–80% ET) in vegetative stage, then full irrigation at flowering and fruit set. Drain fields within 24 hours after heavy rain to prevent root rot. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,gram,india,irrigation,laterite,wilt"
Weather,pigeon pea,wilt,What are good intercropping options with pigeon pea to increase income?,"Heavy rain during flowering of pigeon pea causes pollen wash and yield loss. Ensure drainage, use raised beds, and avoid late nitrogen. If lodging risk exists, reduce N and increase K. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,india,pigeon pea,weather,wilt"
Soil,green gram,bacterial leaf spot,"How can I control pod borer, aphids, whitefly, thrips in green gram using IPM and reduce chemical sprays?","In green gram, soil testing every 2–3 years optimizes fertilizer use. Target OC >0.8%, available P >20 kg/ha, available K >200 kg/ha. Use micronutrients (Zn, B, S) based on deficiency symptoms and soil tests. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial leaf spot,farming,green gram,india,soil"
Government Scheme,black gram,powdery mildew,What is a good NPK plan for black gram to avoid lodging and disease?,"In black gram, state schemes may offer seed subsidies, drip irrigation support, and power concessions. Keep Aadhaar, land records, and bank details updated for scheme benefits. Use KCC for working capital and input purchases. Keep records of inputs and yields each season to refine your plan.","agriculture,black gram,farming,government_scheme,india,powdery mildew,red"
Harvesting,banana,sigatoka leaf spot,What are good intercropping options with banana to increase income?,"In banana, early harvest reduces field losses and aflatoxin risk. Dry on clean tarps; avoid direct soil contact. Use moisture meters to ensure safe storage levels. Store in fumigated, rodent-proof structures. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,farming,harvesting,india,laterite,sigatoka leaf spot"
Marketing,mango,dieback,How do I set up protected cultivation or greenhouse for mango?,"In mango, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,dieback,farming,india,mango,marketing"
Organic Farming,papaya,ring spot virus,What are good intercropping options with papaya to increase income?,"For organic papaya, use Jeevamrut, Panchagavya, and Amritpani as foliar sprays. Manage weeds mechanically and through mulching. Build soil health with diverse rotations and cover crops. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,organic_farming,papaya,ring spot virus,sandy"
Yield Improvement,grapes,downy mildew,Which government schemes can I use for grapes cultivation and marketing?,"To improve yield in grapes, use certified seeds, optimal plant population, and balanced NPK. Manage pests/diseases proactively and avoid water stress at flowering. Harvest at correct maturity and dry properly. Keep records of inputs and yields each season to refine your plan.","agriculture,downy mildew,farming,grapes,india,red,yield_improvement"
Seed Selection,pomegranate,bacterial blight,What are good intercropping options with pomegranate to increase income?,"For pomegranate, select seeds from healthy plants, free from disease. Maintain seed purity and avoid mixing varieties. Use seed replacement every 2–3 years for best results. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial blight,farming,india,pomegranate,sandy,seed_selection"
Storage,citrus,powdery mildew,What water conservation practices work best for citrus in my area?,"For citrus, ensure produce is dry and clean before storage. Avoid mixing old and new stock. Use neem leaves or botanicals in small stores. Monitor temperature and humidity; aerate if needed. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,citrus,farming,india,powdery mildew,storage"
Post-Harvest,turmeric,anthracnose,What carbon farming practices can I adopt in turmeric fields?,"In turmeric, high moisture leads to mold and mycotoxins. Dry to safe levels, use moisture-proof liners, and keep bags off the floor on pallets. Inspect regularly for pests and dampness. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,india,post-harvest,red,turmeric"
Mechanization,ginger,thrips damage,Which government schemes can I use for ginger cultivation and marketing?,"For ginger, mechanization (seed drills, rotavators, harvesters) reduces cost and timeliness losses. Calibrate equipment for correct seed rate and spacing. Maintain machines regularly for safety and efficiency. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,ginger,india,laterite,mechanization,thrips damage"
Intercropping,garlic,white rot,What are effective weed control methods for garlic that are safe and cheap?,"In garlic, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,garlic,india,intercropping,sandy,white rot"
