Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0545,Rice,Brown Spot,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Compost tea,Carbendazim,Field sanitation,Heavy rainfall,Low,58,Balanced NPK,"Rice,Brown Spot"
DIS0546,Rice,Brown Spot,Fungal,Various,Stem lesions,Apply copper-based fungicide,Compost tea,Metalaxyl,Balanced fertilization,High humidity,High,45,Balanced NPK,"Rice,Brown Spot"
DIS0547,Rice,Brown Spot,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Compost tea,Chlorothalonil,Crop rotation,Heavy rainfall,Low,5,Balanced NPK,"Rice,Brown Spot"
DIS0548,Rice,Brown Spot,Fungal,Various,Fruit rot,Improve drainage,Trichoderma application,Copper Oxychloride,Proper spacing,Heavy rainfall,High,58,Balanced NPK,"Rice,Brown Spot"
DIS0549,Rice,Brown Spot,Fungal,Various,Stem lesions,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Balanced fertilization,Heavy rainfall,Medium,38,Balanced NPK,"Rice,Brown Spot"
DIS0550,Rice,Brown Spot,Fungal,Various,Wilting,Apply copper-based fungicide,Compost tea,Metalaxyl,Crop rotation,High humidity,High,46,Balanced NPK,"Rice,Brown Spot"
DIS0551,Rice,Brown Spot,Fungal,Various,Fruit rot,Remove infected leaves,Trichoderma application,Carbendazim,Disease-free seeds,Heavy rainfall,High,57,Balanced NPK,"Rice,Brown Spot"
DIS0552,Rice,Brown Spot,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Compost tea,Metalaxyl,Balanced fertilization,Heavy rainfall,Medium,7,Balanced NPK,"Rice,Brown Spot"
DIS0553,Rice,Brown Spot,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Carbendazim,Proper spacing,Poor air circulation,Low,35,Balanced NPK,"Rice,Brown Spot"
DIS0554,Rice,Brown Spot,Fungal,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Chlorothalonil,Crop rotation,Heavy rainfall,Low,57,Balanced NPK,"Rice,Brown Spot"
DIS0555,Rice,Brown Spot,Fungal,Various,Leaf curling,Use certified seeds,Compost tea,Copper Oxychloride,Disease-free seeds,Cool weather,High,15,Balanced NPK,"Rice,Brown Spot"
DIS0556,Rice,Brown Spot,Fungal,Various,Stem lesions,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Proper spacing,Cool weather,Medium,32,Balanced NPK,"Rice,Brown Spot"
DIS0557,Rice,Brown Spot,Fungal,Various,Fruit rot,Remove infected leaves,Trichoderma application,Mancozeb,Crop rotation,High humidity,Medium,31,Balanced NPK,"Rice,Brown Spot"
DIS0558,Rice,Brown Spot,Fungal,Various,Fruit rot,Apply copper-based fungicide,Compost tea,Copper Oxychloride,Proper spacing,Cool weather,Low,27,Balanced NPK,"Rice,Brown Spot"
DIS0559,Rice,Brown Spot,Fungal,Various,Stem lesions,Apply copper-based fungicide,Compost tea,Carbendazim,Disease-free seeds,Poor air circulation,High,58,Balanced NPK,"Rice,Brown Spot"
DIS0560,Rice,Brown Spot,Fungal,Various,Fruit rot,Improve drainage,Neem oil spray,Metalaxyl,Balanced fertilization,Poor air circulation,High,5,Balanced NPK,"Rice,Brown Spot"
DIS0561,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Carbendazim,Proper spacing,Poor air circulation,High,57,Balanced NPK,"Rice,Sheath Blight"
DIS0562,Rice,Sheath Blight,Fungal,Various,Wilting,Apply copper-based fungicide,Compost tea,Mancozeb,Crop rotation,Cool weather,Low,6,Balanced NPK,"Rice,Sheath Blight"
DIS0563,Rice,Sheath Blight,Fungal,Various,Leaf curling,Use certified seeds,Garlic extract spray,Mancozeb,Disease-free seeds,Cool weather,High,20,Balanced NPK,"Rice,Sheath Blight"
DIS0564,Rice,Sheath Blight,Fungal,Various,Leaf curling,Improve drainage,Garlic extract spray,Carbendazim,Disease-free seeds,Poor air circulation,Low,8,Balanced NPK,"Rice,Sheath Blight"
DIS0565,Rice,Sheath Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Poor air circulation,High,39,Balanced NPK,"Rice,Sheath Blight"
DIS0566,Rice,Sheath Blight,Fungal,Various,Leaf curling,Use certified seeds,Trichoderma application,Chlorothalonil,Crop rotation,High humidity,Low,55,Balanced NPK,"Rice,Sheath Blight"
DIS0567,Rice,Sheath Blight,Fungal,Various,Stem lesions,Use certified seeds,Neem oil spray,Chlorothalonil,Balanced fertilization,Poor air circulation,High,13,Balanced NPK,"Rice,Sheath Blight"
DIS0568,Rice,Sheath Blight,Fungal,Various,White fungal growth,Improve drainage,Neem oil spray,Copper Oxychloride,Proper spacing,Cool weather,Medium,39,Balanced NPK,"Rice,Sheath Blight"
DIS0569,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Compost tea,Metalaxyl,Balanced fertilization,High humidity,Medium,20,Balanced NPK,"Rice,Sheath Blight"
DIS0570,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Compost tea,Mancozeb,Disease-free seeds,Poor air circulation,High,32,Balanced NPK,"Rice,Sheath Blight"
DIS0571,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Neem oil spray,Carbendazim,Disease-free seeds,Heavy rainfall,High,56,Balanced NPK,"Rice,Sheath Blight"
DIS0572,Rice,Sheath Blight,Fungal,Various,Leaf drying,Improve drainage,Compost tea,Metalaxyl,Proper spacing,Cool weather,Low,9,Balanced NPK,"Rice,Sheath Blight"
DIS0573,Rice,Sheath Blight,Fungal,Various,Fruit rot,Use certified seeds,Compost tea,Chlorothalonil,Balanced fertilization,Heavy rainfall,High,5,Balanced NPK,"Rice,Sheath Blight"
DIS0574,Rice,Sheath Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Field sanitation,Heavy rainfall,High,34,Balanced NPK,"Rice,Sheath Blight"
DIS0575,Rice,Sheath Blight,Fungal,Various,Stem lesions,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Crop rotation,Poor air circulation,High,11,Balanced NPK,"Rice,Sheath Blight"
DIS0576,Rice,Sheath Blight,Fungal,Various,Leaf curling,Apply recommended fungicide,Garlic extract spray,Mancozeb,Crop rotation,Cool weather,Medium,29,Balanced NPK,"Rice,Sheath Blight"
DIS0577,Rice,Sheath Blight,Fungal,Various,Brown spots on leaves,Remove infected leaves,Neem oil spray,Mancozeb,Disease-free seeds,Poor air circulation,Medium,39,Balanced NPK,"Rice,Sheath Blight"
DIS0578,Rice,Sheath Blight,Fungal,Various,Wilting,Apply copper-based fungicide,Compost tea,Chlorothalonil,Balanced fertilization,Cool weather,High,56,Balanced NPK,"Rice,Sheath Blight"
DIS0579,Rice,Sheath Blight,Fungal,Various,Wilting,Improve drainage,Trichoderma application,Carbendazim,Proper spacing,Poor air circulation,High,13,Balanced NPK,"Rice,Sheath Blight"
DIS0580,Rice,Sheath Blight,Fungal,Various,White fungal growth,Apply copper-based fungicide,Neem oil spray,Mancozeb,Proper spacing,Heavy rainfall,Medium,30,Balanced NPK,"Rice,Sheath Blight"
DIS0581,Rice,Sheath Blight,Fungal,Various,Stem lesions,Remove infected leaves,Compost tea,Chlorothalonil,Disease-free seeds,Cool weather,High,12,Balanced NPK,"Rice,Sheath Blight"
DIS0582,Rice,Sheath Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Balanced fertilization,High humidity,Low,42,Balanced NPK,"Rice,Sheath Blight"
DIS0583,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Chlorothalonil,Field sanitation,Cool weather,High,38,Balanced NPK,"Rice,Sheath Blight"
DIS0584,Rice,Sheath Blight,Fungal,Various,Stem lesions,Apply copper-based fungicide,Garlic extract spray,Metalaxyl,Disease-free seeds,Poor air circulation,Medium,41,Balanced NPK,"Rice,Sheath Blight"
DIS0585,Rice,Sheath Blight,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Disease-free seeds,High humidity,Low,25,Balanced NPK,"Rice,Sheath Blight"
DIS0586,Rice,Sheath Blight,Fungal,Various,Brown spots on leaves,Remove infected leaves,Garlic extract spray,Mancozeb,Balanced fertilization,Heavy rainfall,Medium,18,Balanced NPK,"Rice,Sheath Blight"
DIS0587,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Improve drainage,Neem oil spray,Metalaxyl,Disease-free seeds,Cool weather,Low,35,Balanced NPK,"Rice,Sheath Blight"
DIS0588,Rice,Sheath Blight,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Heavy rainfall,Medium,49,Balanced NPK,"Rice,Sheath Blight"
DIS0589,Rice,Sheath Blight,Fungal,Various,Fruit rot,Apply recommended fungicide,Neem oil spray,Chlorothalonil,Proper spacing,Cool weather,Low,6,Balanced NPK,"Rice,Sheath Blight"
DIS0590,Rice,Sheath Blight,Fungal,Various,Leaf curling,Remove infected leaves,Neem oil spray,Metalaxyl,Balanced fertilization,Heavy rainfall,Medium,17,Balanced NPK,"Rice,Sheath Blight"
DIS0591,Rice,Sheath Blight,Fungal,Various,Fruit rot,Apply copper-based fungicide,Neem oil spray,Mancozeb,Crop rotation,Poor air circulation,Low,6,Balanced NPK,"Rice,Sheath Blight"
DIS0592,Rice,Sheath Blight,Fungal,Various,Leaf curling,Remove infected leaves,Garlic extract spray,Carbendazim,Crop rotation,Poor air circulation,Medium,19,Balanced NPK,"Rice,Sheath Blight"
DIS0593,Rice,Sheath Blight,Fungal,Various,Wilting,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Disease-free seeds,Heavy rainfall,Low,37,Balanced NPK,"Rice,Sheath Blight"
DIS0594,Rice,Sheath Blight,Fungal,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Mancozeb,Field sanitation,Poor air circulation,High,21,Balanced NPK,"Rice,Sheath Blight"
DIS0595,Rice,Sheath Blight,Fungal,Various,Wilting,Improve drainage,Neem oil spray,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,12,Balanced NPK,"Rice,Sheath Blight"
DIS0596,Rice,Sheath Blight,Fungal,Various,Leaf drying,Avoid overhead irrigation,Trichoderma application,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,50,Balanced NPK,"Rice,Sheath Blight"
DIS0597,Rice,Sheath Blight,Fungal,Various,Leaf drying,Improve drainage,Trichoderma application,Chlorothalonil,Field sanitation,High humidity,High,46,Balanced NPK,"Rice,Sheath Blight"
DIS0598,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Metalaxyl,Field sanitation,High humidity,Low,40,Balanced NPK,"Rice,Sheath Blight"
DIS0599,Rice,Sheath Blight,Fungal,Various,Wilting,Use certified seeds,Garlic extract spray,Chlorothalonil,Balanced fertilization,Poor air circulation,Low,30,Balanced NPK,"Rice,Sheath Blight"
DIS0600,Rice,Sheath Blight,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Carbendazim,Crop rotation,Heavy rainfall,High,40,Balanced NPK,"Rice,Sheath Blight"
DIS0601,Rice,Bacterial Leaf Blight,Bacterial,Various,Stem lesions,Use certified seeds,Garlic extract spray,Mancozeb,Crop rotation,Cool weather,High,26,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0602,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf drying,Use certified seeds,Compost tea,Copper Oxychloride,Crop rotation,Cool weather,Low,33,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0603,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf curling,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Disease-free seeds,Poor air circulation,Medium,21,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0604,Rice,Bacterial Leaf Blight,Bacterial,Various,Brown spots on leaves,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Field sanitation,High humidity,Medium,34,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0605,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Improve drainage,Compost tea,Carbendazim,Crop rotation,Cool weather,Low,54,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0606,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf curling,Remove infected leaves,Trichoderma application,Metalaxyl,Balanced fertilization,High humidity,Low,52,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0607,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Apply recommended fungicide,Trichoderma application,Mancozeb,Proper spacing,Cool weather,High,60,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0608,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf drying,Use certified seeds,Compost tea,Copper Oxychloride,Disease-free seeds,Heavy rainfall,Medium,7,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0609,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf drying,Apply copper-based fungicide,Trichoderma application,Carbendazim,Field sanitation,Cool weather,Low,57,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0610,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Apply copper-based fungicide,Trichoderma application,Chlorothalonil,Proper spacing,High humidity,Medium,39,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0611,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf drying,Use certified seeds,Garlic extract spray,Mancozeb,Proper spacing,High humidity,Medium,33,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0612,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf drying,Use certified seeds,Neem oil spray,Carbendazim,Crop rotation,Poor air circulation,Low,46,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0613,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Use certified seeds,Neem oil spray,Chlorothalonil,Field sanitation,Heavy rainfall,Low,18,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0614,Rice,Bacterial Leaf Blight,Bacterial,Various,Wilting,Remove infected leaves,Garlic extract spray,Metalaxyl,Proper spacing,Cool weather,High,9,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0615,Rice,Bacterial Leaf Blight,Bacterial,Various,Wilting,Improve drainage,Garlic extract spray,Carbendazim,Disease-free seeds,Poor air circulation,High,31,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0616,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf curling,Use certified seeds,Compost tea,Chlorothalonil,Balanced fertilization,High humidity,Low,41,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0617,Rice,Bacterial Leaf Blight,Bacterial,Various,Wilting,Remove infected leaves,Trichoderma application,Mancozeb,Balanced fertilization,Heavy rainfall,Low,33,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0618,Rice,Bacterial Leaf Blight,Bacterial,Various,Stem lesions,Remove infected leaves,Trichoderma application,Chlorothalonil,Crop rotation,Heavy rainfall,High,13,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0619,Rice,Bacterial Leaf Blight,Bacterial,Various,Stem lesions,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Disease-free seeds,Poor air circulation,Medium,27,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0620,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf drying,Apply copper-based fungicide,Garlic extract spray,Carbendazim,Disease-free seeds,Poor air circulation,Low,19,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0621,Rice,Bacterial Leaf Blight,Bacterial,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Metalaxyl,Crop rotation,High humidity,High,53,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0622,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Field sanitation,Cool weather,High,48,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0623,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Remove infected leaves,Compost tea,Carbendazim,Crop rotation,Heavy rainfall,High,58,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0624,Rice,Bacterial Leaf Blight,Bacterial,Various,Fruit rot,Improve drainage,Neem oil spray,Mancozeb,Balanced fertilization,Poor air circulation,Medium,42,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0625,Rice,Bacterial Leaf Blight,Bacterial,Various,Brown spots on leaves,Remove infected leaves,Trichoderma application,Carbendazim,Field sanitation,High humidity,Medium,46,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0626,Rice,Bacterial Leaf Blight,Bacterial,Various,Wilting,Use certified seeds,Garlic extract spray,Chlorothalonil,Field sanitation,Poor air circulation,High,53,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0627,Rice,Bacterial Leaf Blight,Bacterial,Various,Wilting,Remove infected leaves,Neem oil spray,Mancozeb,Disease-free seeds,High humidity,Medium,56,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0628,Rice,Bacterial Leaf Blight,Bacterial,Various,Fruit rot,Remove infected leaves,Compost tea,Carbendazim,Balanced fertilization,High humidity,High,30,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0629,Rice,Bacterial Leaf Blight,Bacterial,Various,Fruit rot,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Disease-free seeds,High humidity,Medium,58,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0630,Rice,Bacterial Leaf Blight,Bacterial,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Metalaxyl,Field sanitation,High humidity,High,58,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0631,Rice,Bacterial Leaf Blight,Bacterial,Various,Yellowing of leaves,Improve drainage,Neem oil spray,Metalaxyl,Field sanitation,Cool weather,Low,59,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0632,Rice,Bacterial Leaf Blight,Bacterial,Various,Stem lesions,Apply copper-based fungicide,Trichoderma application,Copper Oxychloride,Field sanitation,Cool weather,Low,55,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0633,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Apply recommended fungicide,Compost tea,Copper Oxychloride,Field sanitation,Poor air circulation,High,39,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0634,Rice,Bacterial Leaf Blight,Bacterial,Various,Stem lesions,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Proper spacing,High humidity,Medium,8,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0635,Rice,Bacterial Leaf Blight,Bacterial,Various,Leaf curling,Remove infected leaves,Neem oil spray,Carbendazim,Disease-free seeds,Cool weather,High,38,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0636,Rice,Bacterial Leaf Blight,Bacterial,Various,Brown spots on leaves,Avoid overhead irrigation,Compost tea,Metalaxyl,Field sanitation,High humidity,Medium,7,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0637,Rice,Bacterial Leaf Blight,Bacterial,Various,White fungal growth,Improve drainage,Compost tea,Chlorothalonil,Disease-free seeds,High humidity,High,29,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0638,Rice,Bacterial Leaf Blight,Bacterial,Various,Wilting,Improve drainage,Compost tea,Mancozeb,Crop rotation,Cool weather,High,28,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0639,Rice,Bacterial Leaf Blight,Bacterial,Various,Brown spots on leaves,Apply recommended fungicide,Compost tea,Chlorothalonil,Disease-free seeds,Cool weather,Low,16,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0640,Rice,Bacterial Leaf Blight,Bacterial,Various,Brown spots on leaves,Improve drainage,Garlic extract spray,Carbendazim,Disease-free seeds,High humidity,Low,49,Balanced NPK,"Rice,Bacterial Leaf Blight"
DIS0641,Wheat,Stem Rust,Fungal,Various,White fungal growth,Improve drainage,Compost tea,Carbendazim,Disease-free seeds,Poor air circulation,Medium,53,Balanced NPK,"Wheat,Stem Rust"
DIS0642,Wheat,Stem Rust,Fungal,Various,Wilting,Remove infected leaves,Compost tea,Carbendazim,Crop rotation,Heavy rainfall,Low,28,Balanced NPK,"Wheat,Stem Rust"
DIS0643,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Neem oil spray,Copper Oxychloride,Disease-free seeds,High humidity,High,21,Balanced NPK,"Wheat,Stem Rust"
DIS0644,Wheat,Stem Rust,Fungal,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Balanced fertilization,Cool weather,High,24,Balanced NPK,"Wheat,Stem Rust"
DIS0645,Wheat,Stem Rust,Fungal,Various,Leaf curling,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Balanced fertilization,Cool weather,Low,28,Balanced NPK,"Wheat,Stem Rust"
DIS0646,Wheat,Stem Rust,Fungal,Various,Stem lesions,Avoid overhead irrigation,Compost tea,Mancozeb,Disease-free seeds,High humidity,Medium,16,Balanced NPK,"Wheat,Stem Rust"
DIS0647,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Proper spacing,High humidity,Medium,35,Balanced NPK,"Wheat,Stem Rust"
DIS0648,Wheat,Stem Rust,Fungal,Various,Leaf drying,Remove infected leaves,Neem oil spray,Copper Oxychloride,Disease-free seeds,Cool weather,High,56,Balanced NPK,"Wheat,Stem Rust"
DIS0649,Wheat,Stem Rust,Fungal,Various,White fungal growth,Apply recommended fungicide,Trichoderma application,Carbendazim,Crop rotation,Heavy rainfall,High,44,Balanced NPK,"Wheat,Stem Rust"
DIS0650,Wheat,Stem Rust,Fungal,Various,Fruit rot,Avoid overhead irrigation,Trichoderma application,Copper Oxychloride,Proper spacing,Cool weather,Medium,48,Balanced NPK,"Wheat,Stem Rust"
DIS0651,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Remove infected leaves,Trichoderma application,Carbendazim,Proper spacing,Poor air circulation,High,42,Balanced NPK,"Wheat,Stem Rust"
DIS0652,Wheat,Stem Rust,Fungal,Various,Stem lesions,Improve drainage,Trichoderma application,Mancozeb,Field sanitation,Poor air circulation,High,48,Balanced NPK,"Wheat,Stem Rust"
DIS0653,Wheat,Stem Rust,Fungal,Various,Stem lesions,Apply copper-based fungicide,Compost tea,Metalaxyl,Crop rotation,Cool weather,Low,8,Balanced NPK,"Wheat,Stem Rust"
DIS0654,Wheat,Stem Rust,Fungal,Various,Fruit rot,Use certified seeds,Compost tea,Chlorothalonil,Balanced fertilization,Heavy rainfall,High,49,Balanced NPK,"Wheat,Stem Rust"
DIS0655,Wheat,Stem Rust,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Chlorothalonil,Disease-free seeds,Cool weather,Medium,11,Balanced NPK,"Wheat,Stem Rust"
DIS0656,Wheat,Stem Rust,Fungal,Various,Stem lesions,Apply copper-based fungicide,Neem oil spray,Metalaxyl,Balanced fertilization,Poor air circulation,Medium,9,Balanced NPK,"Wheat,Stem Rust"
DIS0657,Wheat,Stem Rust,Fungal,Various,Wilting,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,40,Balanced NPK,"Wheat,Stem Rust"
DIS0658,Wheat,Stem Rust,Fungal,Various,Leaf drying,Use certified seeds,Trichoderma application,Chlorothalonil,Crop rotation,Poor air circulation,High,30,Balanced NPK,"Wheat,Stem Rust"
DIS0659,Wheat,Stem Rust,Fungal,Various,White fungal growth,Apply copper-based fungicide,Neem oil spray,Metalaxyl,Proper spacing,Heavy rainfall,Low,27,Balanced NPK,"Wheat,Stem Rust"
DIS0660,Wheat,Stem Rust,Fungal,Various,Wilting,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Field sanitation,Cool weather,Medium,52,Balanced NPK,"Wheat,Stem Rust"
DIS0661,Wheat,Stem Rust,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Compost tea,Carbendazim,Disease-free seeds,Heavy rainfall,Medium,19,Balanced NPK,"Wheat,Stem Rust"
DIS0662,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Mancozeb,Crop rotation,Cool weather,High,32,Balanced NPK,"Wheat,Stem Rust"
DIS0663,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Cool weather,High,14,Balanced NPK,"Wheat,Stem Rust"
DIS0664,Wheat,Stem Rust,Fungal,Various,Leaf drying,Avoid overhead irrigation,Garlic extract spray,Metalaxyl,Balanced fertilization,Cool weather,Low,11,Balanced NPK,"Wheat,Stem Rust"
DIS0665,Wheat,Stem Rust,Fungal,Various,Brown spots on leaves,Use certified seeds,Garlic extract spray,Mancozeb,Disease-free seeds,Cool weather,Low,8,Balanced NPK,"Wheat,Stem Rust"
DIS0666,Wheat,Stem Rust,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Balanced fertilization,High humidity,Low,38,Balanced NPK,"Wheat,Stem Rust"
DIS0667,Wheat,Stem Rust,Fungal,Various,White fungal growth,Remove infected leaves,Compost tea,Copper Oxychloride,Proper spacing,Heavy rainfall,Medium,7,Balanced NPK,"Wheat,Stem Rust"
DIS0668,Wheat,Stem Rust,Fungal,Various,Leaf curling,Improve drainage,Garlic extract spray,Copper Oxychloride,Disease-free seeds,Heavy rainfall,High,40,Balanced NPK,"Wheat,Stem Rust"
DIS0669,Wheat,Stem Rust,Fungal,Various,Brown spots on leaves,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Field sanitation,Heavy rainfall,High,7,Balanced NPK,"Wheat,Stem Rust"
DIS0670,Wheat,Stem Rust,Fungal,Various,Wilting,Apply recommended fungicide,Garlic extract spray,Copper Oxychloride,Field sanitation,High humidity,High,54,Balanced NPK,"Wheat,Stem Rust"
DIS0671,Wheat,Stem Rust,Fungal,Various,Wilting,Apply recommended fungicide,Neem oil spray,Copper Oxychloride,Field sanitation,High humidity,Low,44,Balanced NPK,"Wheat,Stem Rust"
DIS0672,Wheat,Stem Rust,Fungal,Various,White fungal growth,Apply copper-based fungicide,Trichoderma application,Chlorothalonil,Proper spacing,Heavy rainfall,High,5,Balanced NPK,"Wheat,Stem Rust"
DIS0673,Wheat,Stem Rust,Fungal,Various,Fruit rot,Use certified seeds,Compost tea,Chlorothalonil,Disease-free seeds,High humidity,Low,16,Balanced NPK,"Wheat,Stem Rust"
DIS0674,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Remove infected leaves,Compost tea,Mancozeb,Proper spacing,Heavy rainfall,High,49,Balanced NPK,"Wheat,Stem Rust"
DIS0675,Wheat,Stem Rust,Fungal,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Carbendazim,Crop rotation,Heavy rainfall,Low,38,Balanced NPK,"Wheat,Stem Rust"
DIS0676,Wheat,Stem Rust,Fungal,Various,Yellowing of leaves,Use certified seeds,Garlic extract spray,Chlorothalonil,Balanced fertilization,Heavy rainfall,High,40,Balanced NPK,"Wheat,Stem Rust"
DIS0677,Wheat,Stem Rust,Fungal,Various,Stem lesions,Use certified seeds,Trichoderma application,Chlorothalonil,Disease-free seeds,Cool weather,Low,44,Balanced NPK,"Wheat,Stem Rust"
